,Name,description,geometry,id
0,E01010137,Solihull 012B,POINT (-1.787262605 52.43815614),0
1,E01010178,Solihull 013D,POINT (-1.810180434 52.43901529),1
2,E01010169,Solihull 025C,POINT (-1.647382307 52.39107414),2
3,E01010211,Solihull 023C,POINT (-1.827973795 52.39700078),3
4,E01010200,Solihull 018B,POINT (-1.817096713 52.40672053),4
5,E01010112,Solihull 009C,POINT (-1.738577753 52.47156546),5
6,E01010218,Solihull 021A,POINT (-1.865708989 52.40766797),6
7,E01010230,Solihull 016D,POINT (-1.77560661 52.42232552),7
8,E01010131,Solihull 008F,POINT (-1.730630946 52.47246644),8
9,E01010113,Solihull 009D,POINT (-1.751412778 52.47195973),9
10,E01010237,Solihull 004C,POINT (-1.744355905 52.49879547),10
11,E01010108,Solihull 017A,POINT (-1.699306469 52.42681417),11
12,E01010234,Solihull 004B,POINT (-1.74601181 52.50294211),12
13,E01010132,Solihull 011A,POINT (-1.774994067 52.44427567),13
14,E01010208,Solihull 023A,POINT (-1.824938716 52.40214145),14
15,E01010119,Solihull 003B,POINT (-1.762504556 52.50627741),15
16,E01010220,Solihull 030A,POINT (-1.836202045 52.40702609),16
17,E01010153,Solihull 026C,POINT (-1.744975851 52.38017227),17
18,E01010204,Solihull 018D,POINT (-1.829091528 52.41934405),18
19,E01010165,Solihull 017C,POINT (-1.64618147 52.43756731),19
20,E01010147,Solihull 005B,POINT (-1.754015037 52.48999579),20
21,E01010144,Solihull 007D,POINT (-1.756011661 52.47788883),21
22,E01010128,Solihull 008D,POINT (-1.725864096 52.47446441),22
23,E01010130,Solihull 008E,POINT (-1.729570947 52.47648212),23
24,E01010240,Solihull 002D,POINT (-1.756915574 52.50928022),24
25,E01010226,Solihull 016B,POINT (-1.769025271 52.41671272),25
26,E01010232,Solihull 015E,POINT (-1.768634978 52.42766156),26
27,E01010213,Solihull 022E,POINT (-1.814777322 52.39616612),27
28,E01010158,Solihull 012C,POINT (-1.787461107 52.446659),28
29,E01010148,Solihull 005C,POINT (-1.755168216 52.49296258),29
30,E01010135,Solihull 011D,POINT (-1.779794641 52.43976782),30
31,E01010129,Solihull 006B,POINT (-1.743133919 52.4769759),31
32,E01010125,Solihull 006A,POINT (-1.735274109 52.47897275),32
33,E01010177,Solihull 013C,POINT (-1.804788707 52.44348242),33
34,E01010146,Solihull 004A,POINT (-1.752152697 52.49626511),34
35,E01010219,Solihull 021B,POINT (-1.845782294 52.40678597),35
36,E01010166,Solihull 025A,POINT (-1.636191794 52.38562711),36
37,E01010139,Solihull 006C,POINT (-1.738534192 52.48783454),37
38,E01010109,Solihull 009A,POINT (-1.74365247 52.46054125),38
39,E01010168,Solihull 025B,POINT (-1.652191266 52.39551526),39
40,E01010141,Solihull 006D,POINT (-1.7422549 52.48603312),40
41,E01010239,Solihull 002C,POINT (-1.751134927 52.5092175),41
42,E01010149,Solihull 005D,POINT (-1.75267971 52.48607742),42
43,E01010161,Solihull 012E,POINT (-1.799182039 52.44170925),43
44,E01010184,Solihull 028B,POINT (-1.757117086 52.38148822),44
45,E01010236,Solihull 002B,POINT (-1.753864474 52.50515028),45
46,E01010181,Solihull 029B,POINT (-1.841317931 52.38716802),46
47,E01010179,Solihull 014D,POINT (-1.800649454 52.43546422),47
48,E01010151,Solihull 026A,POINT (-1.736844941 52.38759861),48
49,E01010110,Solihull 009B,POINT (-1.739571001 52.46852396),49
50,E01010207,Solihull 024D,POINT (-1.787100506 52.39546263),50
51,E01032590,Solihull 030D,POINT (-1.834697077 52.41487642),51
52,E01010159,Solihull 010B,POINT (-1.787783505 52.4511113),52
53,E01010126,Solihull 008B,POINT (-1.724341547 52.48111448),53
54,E01010217,Solihull 023D,POINT (-1.841147486 52.4020993),54
55,E01010203,Solihull 022C,POINT (-1.814700187 52.40395312),55
56,E01010176,Solihull 014C,POINT (-1.811781105 52.42295919),56
57,E01010171,Solihull 025E,POINT (-1.660590783 52.38837037),57
58,E01010238,Solihull 004D,POINT (-1.73981004 52.49430638),58
59,E01010120,Solihull 001B,POINT (-1.771594674 52.51054789),59
60,E01010233,Solihull 016F,POINT (-1.76882423 52.42292378),60
61,E01010210,Solihull 023B,POINT (-1.833509478 52.40127286),61
62,E01010206,Solihull 018F,POINT (-1.824515385 52.41532444),62
63,E01010143,Solihull 007C,POINT (-1.750147247 52.47716821),63
64,E01010186,Solihull 028D,POINT (-1.756025125 52.37723713),64
65,E01010140,Solihull 007A,POINT (-1.746984419 52.48163208),65
66,E01010201,Solihull 018C,POINT (-1.821670661 52.41048641),66
67,E01010221,Solihull 021C,POINT (-1.851345261 52.40498089),67
68,E01010124,Solihull 003D,POINT (-1.768709051 52.50373518),68
69,E01010209,Solihull 022D,POINT (-1.810268138 52.40038147),69
70,E01010196,Solihull 019B,POINT (-1.80663693 52.41794806),70
71,E01010115,Solihull 015A,POINT (-1.756362389 52.43353525),71
72,E01010215,Solihull 027C,POINT (-1.797594626 52.38872869),72
73,E01010205,Solihull 018E,POINT (-1.815119475 52.4167728),73
74,E01010163,Solihull 010D,POINT (-1.79797962 52.44900064),74
75,E01010183,Solihull 029D,POINT (-1.810599114 52.38090714),75
